         0 |    -0.1875 |    -0.1875 |          0 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.1875 |          0 |          0 |     0.5625 |
    0.1875 |         -0 |         -0 |     0.5625 |
         0 |    -0.1875 |    -0.1875 |          0 | 
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.5625 |          0 |          0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
    0.5625 |         -0 |         -0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
         0 |    -0.1875 |    -0.1875 |          0 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.1875 |          0 |          0 |     0.5625 |
    0.1875 |         -0 |         -0 |     0.5625 |
         0 |    -0.1875 |    -0.1875 |          0 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.5625 |          0 |          0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
    0.5625 |         -0 |         -0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
         0 |    -0.1875 |    -0.1875 |          0 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.1875 |          0 |          0 |     0.5625 | 
    0.1875 |         -0 |         -0 |     0.5625 |
         0 |    -0.1875 |    -0.1875 |          0 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.5625 |          0 |          0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
    0.5625 |         -0 |         -0 |     0.1875 |
   -0.5625 |     0.1875 |     0.1875 |    -0.1875 |
         0 |    -0.1875 |    -0.1875 |          0 |
      0.75 |     -0.375 |     -0.375 |       0.75 |
   -0.1875 |     0.1875 |     0.1875 |    -0.5625 |
    0.1875 |          0 |          0 |     0.5625 | 
